t_s,PkgWatt,CorWatt,GFXWatt,RAMWatt,phase
0.00,4.5,0.05,0.0,0.0,unknown
0.50,4.5,0.05,0.0,0.0,idle_pre
1.00,4.41,0.01,0.0,0.0,idle_pre
1.50,4.41,0.01,0.0,0.0,idle_pre
2.00,4.4,0.01,0.0,0.0,idle_pre
2.50,4.4,0.01,0.0,0.0,idle_pre
3.00,4.41,0.02,0.0,0.0,idle_pre
3.50,4.41,0.02,0.0,0.0,idle_pre
4.00,4.42,0.02,0.0,0.0,idle_pre
4.50,4.42,0.02,0.0,0.0,idle_pre
5.00,4.4,0.01,0.0,0.0,idle_pre
5.50,4.4,0.01,0.0,0.0,CPU_workload
6.00,4.45,0.03,0.0,0.0,CPU_workload
6.50,4.45,0.03,0.0,0.0,CPU_workload
7.00,4.41,0.01,0.0,0.0,CPU_workload
7.50,4.41,0.01,0.0,0.0,CPU_workload
8.00,4.43,0.02,0.0,0.0,CPU_workload
8.50,4.43,0.02,0.0,0.0,CPU_workload
9.00,4.42,0.01,0.0,0.0,CPU_workload
9.50,4.42,0.01,0.0,0.0,CPU_workload
10.00,4.41,0.03,0.0,0.0,CPU_workload
10.50,4.41,0.03,0.0,0.0,CPU_workload
11.00,4.76,0.21,0.0,0.0,CPU_workload
11.50,4.76,0.21,0.0,0.0,CPU_workload
12.00,16.76,11.85,0.0,0.0,CPU_workload
12.50,16.76,11.85,0.0,0.0,CPU_workload
13.00,30.91,26.08,0.0,0.0,CPU_workload
13.50,30.91,26.08,0.0,0.0,CPU_workload
14.00,30.7,25.85,0.0,0.0,CPU_workload
14.50,30.69,25.85,0.0,0.0,CPU_workload
15.00,30.74,25.05,0.0,0.0,CPU_workload
15.50,30.74,25.05,0.0,0.0,CPU_workload
16.00,29.56,24.7,0.0,0.0,CPU_workload
16.50,29.56,24.71,0.0,0.0,CPU_workload
17.00,29.36,24.53,0.0,0.0,CPU_workload
17.50,29.36,24.53,0.0,0.0,CPU_workload
18.00,30.88,26.01,0.0,0.0,CPU_workload
18.50,30.88,26.01,0.0,0.0,CPU_workload
19.00,30.02,25.18,0.0,0.0,CPU_workload
19.50,30.03,25.19,0.0,0.0,CPU_workload
20.00,29.33,24.46,0.0,0.0,CPU_workload
20.50,29.33,24.46,0.0,0.0,CPU_workload
21.00,28.86,24.04,0.0,0.0,cooldown_1
21.50,28.86,24.04,0.0,0.0,cooldown_1
22.00,29.85,24.98,0.0,0.0,cooldown_1
22.50,29.85,24.98,0.0,0.0,cooldown_1
23.00,30.22,25.36,0.0,0.0,cooldown_1
23.50,30.22,25.36,0.0,0.0,cooldown_1
24.00,29.77,24.9,0.0,0.0,cooldown_1
24.50,29.76,24.89,0.0,0.0,cooldown_1
25.00,29.35,24.5,0.0,0.0,cooldown_1
25.50,29.36,24.5,0.0,0.0,cooldown_1
26.00,30.0,25.12,0.0,0.0,GPU_workload
