作物名称,种植季次,产量,作物编号
黄豆,单季,53536.910808620516,1
黑豆,单季,23723.31615959789,2
红豆,单季,24000.43977243641,3
绿豆,单季,31822.16524037369,4
爬豆,单季,10173.140636083956,5
小麦,单季,248813.4006428003,6
玉米,单季,187475.24270148008,7
谷子,单季,72023.86776946163,8
高粱,单季,30336.458007184952,9
黍子,单季,13459.832800237871,10
荞麦,单季,1426.8293586868106,11
南瓜,单季,37042.68247435685,12
红薯,单季,35258.47330578405,13
莜麦,单季,13403.044789070565,14
大麦,单季,10403.101540452148,15
水稻,单季,20827.404604819247,16
豇豆,第一季,36941.50925551385,17
豇豆,第二季,989.0049020078319,17
刀豆,第一季,26810.770790789502,18
刀豆,第二季,663.8959441347922,18
芸豆,第一季,6386.410143280599,19
芸豆,第二季,942.6305927871175,19
土豆,第一季,29523.407727722635,20
土豆,第二季,676.636709068916,20
西红柿,第一季,34039.13774721802,21
西红柿,第二季,788.7431843086215,21
茄子,第一季,45941.12770683202,22
茄子,第二季,2190.3709785409956,22
菠菜 ,第二季,924.049352457314,23
青椒,第一季,1750.4838087114008,24
青椒,第二季,825.4961191184249,24
菜花,第一季,3778.7361387889077,25
菜花,第二季,1080.241067464101,25
包菜,第一季,3896.746552231289,26
包菜,第二季,1216.1223769053183,26
油麦菜,第一季,4641.9067090358785,27
油麦菜,第二季,1318.3832917615175,27
小青菜,第一季,34610.62665711417,28
小青菜,第二季,1089.6641013524513,28
黄瓜,第一季,9116.733872471114,29
黄瓜,第二季,4037.952713179247,29
生菜 ,第二季,1384.056733337869,30
辣椒,第一季,1225.1280830920812,31
辣椒,第二季,526.8899839256624,31
空心菜,第一季,3695.0067772042626,32
空心菜,第二季,3159.151769912372,32
黄心菜,第一季,1725.2729455227036,33
黄心菜,第二季,1596.0589481090647,33
芹菜,第二季,1733.108025948581,34
大白菜,第二季,144890.66012616726,35
白萝卜,第二季,102566.80481202043,36
红萝卜,第二季,37844.36999817439,37
榆黄菇,第二季,9039.756777112892,38
香菇,第二季,7168.138061286137,39
白灵菇,第二季,17304.72694603691,40
羊肚菌,第二季,4024.8132783288165,41
