Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,399.00963346862005,510.512625,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,472.74518716563966,510.512625,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,400.02461814096534,446.69854687500015,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,331.6024659791769,446.69854687500015,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,431.408990954484,446.69854687500015,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,924.166171186104,574.3267031250001,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1016.273365122037,638.1407812500003,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,346.64086587721283,459.4613625,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,620.6862441539998,510.512625,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,557.0952379398054,459.4613625,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,110.5536516085836,446.69854687500015,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,3045.444645932908,1276.2815625,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2100.5745666536773,2552.563125000001,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,425.1671942680597,510.512625,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,487.5881358931437,446.69854687500015,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,394.5998441541091,510.512625,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,517.5047309957065,510.512625,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,402.8547979812519,446.69854687500015,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,362.19186847325113,446.69854687500015,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,347.8198178807618,446.69854687500015,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,702.1205036130102,574.3267031250001,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,907.9544291566252,638.1407812500003,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,361.04828306091986,459.4613625,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,572.4193864492137,510.512625,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,520.7616480165578,459.4613625,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,103.16272093131181,446.69854687500015,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2614.3825508334776,1276.2815625,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,1884.7503718144321,2552.563125000001,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,365.3058716852417,510.512625,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,420.7481317786464,446.69854687500015,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,339.6024895737122,510.512625,2.50-4.00,3.25,770.0
31,32,2,黑豆,山坡地,单季,416.1068498479169,510.512625,6.50-8.50,7.5,2975.0
32,33,3,红豆,山坡地,单季,329.1876725222982,446.69854687500015,7.50-9.00,8.25,2620.0
33,34,4,绿豆,山坡地,单季,312.24711219439166,446.69854687500015,6.00-8.00,7.0,1855.0
34,35,5,爬豆,山坡地,单季,358.71166835680793,446.69854687500015,6.00-7.50,6.75,2181.25
35,36,6,小麦,山坡地,单季,707.6168947596927,574.3267031250001,3.00-4.00,3.5,2070.0
36,37,7,玉米,山坡地,单季,842.5683716408473,638.1407812500003,2.50-3.50,3.0,2200.0
37,38,8,谷子,山坡地,单季,385.0285224498066,459.4613625,6.00-7.50,6.75,2070.0
38,39,9,高粱,山坡地,单季,492.6561416332923,510.512625,5.50-6.50,6.0,3020.0
39,40,10,黍子,山坡地,单季,462.7638407976783,459.4613625,6.50-8.50,7.5,3202.5
40,41,11,荞麦,山坡地,单季,105.94087801523335,446.69854687500015,30.00-50.00,40.0,3650.0
41,42,12,南瓜,山坡地,单季,2697.4664862210793,1276.2815625,1.00-2.00,1.5,3050.0
42,43,13,红薯,山坡地,单季,1967.9179953772104,2552.563125000001,2.50-4.00,3.25,4500.0
43,44,14,莜麦,山坡地,单季,353.88124300573827,510.512625,5.00-6.00,5.5,1690.0
44,45,15,大麦,山坡地,单季,464.26854031193125,446.69854687500015,3.00-4.00,3.5,1312.5
45,46,16,水稻,水浇地,单季,495.29052905510804,867.8714625000003,6.00-8.00,7.0,2820.0
46,47,17,豇豆,水浇地,第一季,2888.749826364377,2552.563125000001,7.00-9.00,10.2102525,22000.0
47,48,18,刀豆,水浇地,第一季,2008.777106082836,1276.2815625,5.50-8.00,8.614900546875,12500.0
48,49,19,芸豆,水浇地,第一季,3005.555937825203,2552.563125000001,5.00-8.00,8.295830156250004,17500.0
49,50,20,土豆,水浇地,第一季,2109.472904004072,2552.563125000001,3.00-4.50,4.7860558593750016,5500.0
50,51,21,西红柿,水浇地,第一季,2455.692420159137,2552.563125000001,5.00-7.50,7.976759765625002,13000.0
51,52,22,茄子,水浇地,第一季,6846.151225883595,2552.563125000001,5.00-6.00,7.019548593750002,33200.0
52,53,23,菠菜 ,水浇地,第一季,2652.5929246404708,2935.44759375,4.80-6.70,7.338618984375,13225.0
53,54,24,青椒,水浇地,第一季,2357.2886131164882,2042.0505,4.00-6.50,6.7004782031250025,11000.0
54,55,25,菜花,水浇地,第一季,3443.5511289516553,3063.0757500000004,5.00-6.00,7.019548593750002,15750.0
55,56,26,包菜,水浇地,第一季,3721.692203883717,3701.216531250001,5.50-7.50,8.295830156250004,21150.0
56,57,27,油麦菜,水浇地,第一季,4203.139185260757,2042.0505,4.00-6.00,6.381407812500003,18900.0
57,58,28,小青菜,水浇地,第一季,3316.640445431637,2042.0505,5.00-6.50,7.338618984375,16800.0
58,59,29,黄瓜,水浇地,第一季,12462.658415293137,3701.216531250001,6.00-8.00,8.9339709375,81100.0
59,60,30,生菜 ,水浇地,第一季,4077.570944615929,2042.0505,4.50-6.00,6.7004782031250025,19925.0
60,61,31,辣椒,水浇地,第一季,1585.710222020507,1276.2815625,6.00-8.50,9.253041328125002,10600.0
61,62,32,空心菜,水浇地,第一季,9253.961818074024,5232.754406250001,3.00-6.00,5.743267031250002,40900.0
62,63,33,黄心菜,水浇地,第一季,5449.235701255843,2552.563125000001,4.00-5.00,5.743267031250002,20500.0
63,64,34,芹菜,水浇地,第一季,5330.90769687591,1148.6534062500002,3.20-4.80,5.105126250000001,21100.0
64,65,17,豇豆,普通大棚 ,第一季,3103.283126912271,3063.0757500000004,7.00-9.00,10.2102525,26400.0
65,66,18,刀豆,普通大棚 ,第一季,2162.1993721942804,1531.5378750000002,5.50-8.00,8.614900546875,15000.0
66,67,19,芸豆,普通大棚 ,第一季,3858.820557211461,3063.0757500000004,5.00-8.00,8.295830156250004,21000.0
67,68,20,土豆,普通大棚 ,第一季,2430.622289859937,3063.0757500000004,3.00-4.50,4.7860558593750016,6600.0
68,69,21,西红柿,普通大棚 ,第一季,3470.097927278562,3063.0757500000004,5.00-7.50,7.976759765625002,16350.0
69,70,22,茄子,普通大棚 ,第一季,6570.568111072974,3063.0757500000004,5.00-6.00,7.019548593750002,41600.0
70,71,23,菠菜 ,普通大棚 ,第一季,3540.401381983228,3445.9602187500004,4.80-6.70,7.338618984375,16275.0
71,72,24,青椒,普通大棚 ,第一季,2632.6896473102165,2552.563125000001,4.00-6.50,6.7004782031250025,13750.0
72,73,25,菜花,普通大棚 ,第一季,4268.86197863575,3828.8446875,5.00-6.00,7.019548593750002,19000.0
73,74,26,包菜,普通大棚 ,第一季,4390.084064743912,4466.985468750001,5.50-7.50,8.295830156250004,25750.0
