地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,季度,地块类型,地块面积/亩,没有种植豆类年数
A1,421.62486794038284,466.5836652270863,389.44480119102246,331.04663321441603,387.7422215697416,853.6163151400763,1034.522670269688,306.6618215795665,611.3978305507421,549.9862123349553,105.59774094334595,3138.9090508310783,2180.166685128888,442.1212576215697,461.05930003829553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,80.0,0
A2,421.62486794038284,466.5836652270863,389.44480119102246,331.04663321441603,387.7422215697416,853.6163151400763,1034.522670269688,306.6618215795665,611.3978305507421,549.9862123349553,105.59774094334595,3138.9090508310783,2180.166685128888,442.1212576215697,461.05930003829553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
A3,421.62486794038284,466.5836652270863,389.44480119102246,331.04663321441603,387.7422215697416,853.6163151400763,1034.522670269688,306.6618215795665,611.3978305507421,549.9862123349553,105.59774094334595,3138.9090508310783,2180.166685128888,442.1212576215697,461.05930003829553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,35.0,0
A4,421.62486794038284,466.5836652270863,389.44480119102246,331.04663321441603,387.7422215697416,853.6163151400763,1034.522670269688,306.6618215795665,611.3978305507421,549.9862123349553,105.59774094334595,3138.9090508310783,2180.166685128888,442.1212576215697,461.05930003829553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,72.0,0
A5,421.62486794038284,466.5836652270863,389.44480119102246,331.04663321441603,387.7422215697416,853.6163151400763,1034.522670269688,306.6618215795665,611.3978305507421,549.9862123349553,105.59774094334595,3138.9090508310783,2180.166685128888,442.1212576215697,461.05930003829553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,68.0,0
A6,421.62486794038284,466.5836652270863,389.44480119102246,331.04663321441603,387.7422215697416,853.6163151400763,1034.522670269688,306.6618215795665,611.3978305507421,549.9862123349553,105.59774094334595,3138.9090508310783,2180.166685128888,442.1212576215697,461.05930003829553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
B1,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B2,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,46.0,0
B3,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,40.0,0
B4,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,28.0,0
B5,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,25.0,0
B6,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,86.0,0
B7,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,55.0,0
B8,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,44.0,0
B9,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,50.0,0
B10,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,25.0,0
B11,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B12,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,45.0,0
B13,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,35.0,0
B14,386.23539926559715,467.5566827045594,394.6033456189476,376.38841344179536,349.5776160451841,689.4870005428711,930.3562280708168,385.71195607285216,521.7241499122633,525.8576200194793,95.35928827086063,2792.416364315224,2017.9056861751321,345.7854248701768,397.9783467443746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,20.0,0
C1,338.9923525605888,395.81668135900907,321.13681157082544,283.82378570603004,370.903537620951,728.4780422532556,835.8808623627953,398.1616297774172,490.4311166222266,477.80342765542684,106.51287508701854,2750.8337060233684,1931.885493538325,353.41151184204733,427.0990123815988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,15.0,0
C2,338.9923525605888,395.81668135900907,321.13681157082544,283.82378570603004,370.903537620951,728.4780422532556,835.8808623627953,398.1616297774172,490.4311166222266,477.80342765542684,106.51287508701854,2750.8337060233684,1931.885493538325,353.41151184204733,427.0990123815988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,13.0,0
C3,338.9923525605888,395.81668135900907,321.13681157082544,283.82378570603004,370.903537620951,728.4780422532556,835.8808623627953,398.1616297774172,490.4311166222266,477.80342765542684,106.51287508701854,2750.8337060233684,1931.885493538325,353.41151184204733,427.0990123815988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,15.0,0
C4,338.9923525605888,395.81668135900907,321.13681157082544,283.82378570603004,370.903537620951,728.4780422532556,835.8808623627953,398.1616297774172,490.4311166222266,477.80342765542684,106.51287508701854,2750.8337060233684,1931.885493538325,353.41151184204733,427.0990123815988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,18.0,0
