序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
1,1,黄豆,平旱地,单季,400.0,400.0,2.50-4.00,3.25,900.0
2,2,黑豆,平旱地,单季,500.0,400.0,6.50-8.50,7.5,3350.0
3,3,红豆,平旱地,单季,400.0,350.0,7.50-9.00,8.25,2950.0
4,4,绿豆,平旱地,单季,350.0,350.0,6.00-8.00,7.0,2100.0
5,5,爬豆,平旱地,单季,415.0,350.0,6.00-7.50,6.75,2451.25
6,6,小麦,平旱地,单季,800.0,450.0,3.00-4.00,3.5,2350.0
7,7,玉米,平旱地,单季,1000.0,500.0,2.50-3.50,3.0,2500.0
8,8,谷子,平旱地,单季,400.0,360.0,6.00-7.50,6.75,2340.0
9,9,高粱,平旱地,单季,630.0,400.0,5.50-6.50,6.0,3380.0
10,10,黍子,平旱地,单季,525.0,360.0,6.50-8.50,7.5,3577.5
11,11,荞麦,平旱地,单季,110.0,350.0,30.00-50.00,40.0,4050.0
12,12,南瓜,平旱地,单季,3000.0,1000.0,1.00-2.00,1.5,3500.0
13,13,红薯,平旱地,单季,2200.0,2000.0,2.50-4.00,3.25,5150.0
14,14,莜麦,平旱地,单季,420.0,400.0,5.00-6.00,5.5,1910.0
15,15,大麦,平旱地,单季,525.0,350.0,3.00-4.00,3.5,1487.5
16,1,黄豆,梯田,单季,380.0,400.0,2.50-4.00,3.25,835.0
17,2,黑豆,梯田,单季,475.0,400.0,6.50-8.50,7.5,3162.5
18,3,红豆,梯田,单季,380.0,350.0,7.50-9.00,8.25,2785.0
19,4,绿豆,梯田,单季,330.0,350.0,6.00-8.00,7.0,1960.0
20,5,爬豆,梯田,单季,395.0,350.0,6.00-7.50,6.75,2316.25
21,6,小麦,梯田,单季,760.0,450.0,3.00-4.00,3.5,2210.0
22,7,玉米,梯田,单季,950.0,500.0,2.50-3.50,3.0,2350.0
23,8,谷子,梯田,单季,380.0,360.0,6.00-7.50,6.75,2205.0
24,9,高粱,梯田,单季,600.0,400.0,5.50-6.50,6.0,3200.0
25,10,黍子,梯田,单季,500.0,360.0,6.50-8.50,7.5,3390.0
26,11,荞麦,梯田,单季,105.0,350.0,30.00-50.00,40.0,3850.0
27,12,南瓜,梯田,单季,2850.0,1000.0,1.00-2.00,1.5,3275.0
28,13,红薯,梯田,单季,2100.0,2000.0,2.50-4.00,3.25,4825.0
29,14,莜麦,梯田,单季,400.0,400.0,5.00-6.00,5.5,1800.0
30,15,大麦,梯田,单季,500.0,350.0,3.00-4.00,3.5,1400.0
31,1,黄豆,山坡地,单季,360.0,400.0,2.50-4.00,3.25,770.0
