地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,季度,地块类型,地块面积/亩,没有种植豆类年数
A1,400.0,500.0,400.0,350.0,415.0,800.0,1000.0,400.0,630.0,525.0,110.0,3000.0,2200.0,420.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,80.0,0
A2,400.0,500.0,400.0,350.0,415.0,800.0,1000.0,400.0,630.0,525.0,110.0,3000.0,2200.0,420.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
A3,400.0,500.0,400.0,350.0,415.0,800.0,1000.0,400.0,630.0,525.0,110.0,3000.0,2200.0,420.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,35.0,0
A4,400.0,500.0,400.0,350.0,415.0,800.0,1000.0,400.0,630.0,525.0,110.0,3000.0,2200.0,420.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,72.0,0
A5,400.0,500.0,400.0,350.0,415.0,800.0,1000.0,400.0,630.0,525.0,110.0,3000.0,2200.0,420.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,68.0,0
A6,400.0,500.0,400.0,350.0,415.0,800.0,1000.0,400.0,630.0,525.0,110.0,3000.0,2200.0,420.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
B1,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B2,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,46.0,0
B3,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,40.0,0
B4,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,28.0,0
B5,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,25.0,0
B6,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,86.0,0
B7,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,55.0,0
B8,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,44.0,0
B9,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,50.0,0
B10,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,25.0,0
B11,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B12,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,45.0,0
B13,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,35.0,0
B14,380.0,475.0,380.0,330.0,395.0,760.0,950.0,380.0,600.0,500.0,105.0,2850.0,2100.0,400.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,20.0,0
C1,360.0,450.0,360.0,315.0,375.0,720.0,900.0,360.0,570.0,475.0,100.0,2700.0,2000.0,380.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,15.0,0
C2,360.0,450.0,360.0,315.0,375.0,720.0,900.0,360.0,570.0,475.0,100.0,2700.0,2000.0,380.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,13.0,0
C3,360.0,450.0,360.0,315.0,375.0,720.0,900.0,360.0,570.0,475.0,100.0,2700.0,2000.0,380.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,15.0,0
C4,360.0,450.0,360.0,315.0,375.0,720.0,900.0,360.0,570.0,475.0,100.0,2700.0,2000.0,380.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,18.0,0
C5,360.0,450.0,360.0,315.0,375.0,720.0,900.0,360.0,570.0,475.0,100.0,2700.0,2000.0,380.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,27.0,0
C6,360.0,450.0,360.0,315.0,375.0,720.0,900.0,360.0,570.0,475.0,100.0,2700.0,2000.0,380.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,山坡地,20.0,0
D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,15.0,0
D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,10.0,0
D3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,14.0,0
D4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,6.0,0
D5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,10.0,0
D6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,12.0,0
D7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,22.0,0
D8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,2000.0,3000.0,2000.0,2400.0,6400.0,2700.0,2400.0,3300.0,3700.0,4100.0,3200.0,12000.0,4100.0,1600.0,10000.0,5000.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,水浇地,20.0,0
E1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2400.0,3600.0,2400.0,3000.0,8000.0,3300.0,3000.0,4000.0,4500.0,5000.0,4000.0,15000.0,5000.0,2000.0,12000.0,6000.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,普通大棚 ,0.6,0
E2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2400.0,3600.0,2400.0,3000.0,8000.0,3300.0,3000.0,4000.0,4500.0,5000.0,4000.0,15000.0,5000.0,2000.0,12000.0,6000.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,普通大棚 ,0.6,0
E3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2400.0,3600.0,2400.0,3000.0,8000.0,3300.0,3000.0,4000.0,4500.0,5000.0,4000.0,15000.0,5000.0,2000.0,12000.0,6000.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,普通大棚 ,0.6,0
E4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2400.0,3600.0,2400.0,3000.0,8000.0,3300.0,3000.0,4000.0,4500.0,5000.0,4000.0,15000.0,5000.0,2000.0,12000.0,6000.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,普通大棚 ,0.6,0
E5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2400.0,3600.0,2400.0,3000.0,8000.0,3300.0,3000.0,4000.0,4500.0,5000.0,4000.0,15000.0,5000.0,2000.0,12000.0,6000.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,普通大棚 ,0.6,0
E6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2400.0,3600.0,2400.0,3000.0,8000.0,3300.0,3000.0,4000.0,4500.0,5000.0,4000.0,15000.0,5000.0,2000.0,12000.0,6000.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,普通大棚 ,0.6,0
