作物名称,地块类型,Unnamed: 0,序号,作物编号,亩产量/斤,种植成本/(元/亩)
刀豆,普通大棚 ,65.0,66.0,18.0,2400.0,1200.0
刀豆,智慧大棚,99.0,78.5,18.0,2300.0,1260.0
刀豆,水浇地,47.0,48.0,18.0,2000.0,1000.0
包菜,普通大棚 ,73.0,74.0,26.0,4500.0,3500.0
包菜,智慧大棚,107.0,86.5,26.0,4300.0,3675.0
包菜,水浇地,55.0,56.0,26.0,3700.0,2900.0
南瓜,山坡地,41.0,42.0,12.0,2700.0,1000.0
南瓜,平旱地,11.0,12.0,12.0,3000.0,1000.0
南瓜,梯田,26.0,27.0,12.0,2850.0,1000.0
土豆,普通大棚 ,67.0,68.0,20.0,2400.0,2400.0
土豆,智慧大棚,101.0,80.5,20.0,2300.0,2520.0
土豆,水浇地,49.0,50.0,20.0,2000.0,2000.0
大白菜,水浇地,82.0,83.0,35.0,5000.0,2000.0
大麦,山坡地,44.0,45.0,15.0,475.0,350.0
大麦,平旱地,14.0,15.0,15.0,525.0,350.0
大麦,梯田,29.0,30.0,15.0,500.0,350.0
小青菜,普通大棚 ,75.0,76.0,28.0,4000.0,2000.0
小青菜,智慧大棚,109.0,88.5,28.0,3800.0,2100.0
小青菜,水浇地,57.0,58.0,28.0,3200.0,1600.0
小麦,山坡地,35.0,36.0,6.0,720.0,450.0
小麦,平旱地,5.0,6.0,6.0,800.0,450.0
小麦,梯田,20.0,21.0,6.0,760.0,450.0
榆黄菇,普通大棚 ,85.0,86.0,38.0,5000.0,3000.0
水稻,水浇地,45.0,46.0,16.0,500.0,680.0
油麦菜,普通大棚 ,74.0,75.0,27.0,5000.0,2000.0
油麦菜,智慧大棚,108.0,87.5,27.0,4750.0,2100.0
油麦菜,水浇地,56.0,57.0,27.0,4100.0,1600.0
爬豆,山坡地,34.0,35.0,5.0,375.0,350.0
爬豆,平旱地,4.0,5.0,5.0,415.0,350.0
爬豆,梯田,19.0,20.0,5.0,395.0,350.0
玉米,山坡地,36.0,37.0,7.0,900.0,500.0
玉米,平旱地,6.0,7.0,7.0,1000.0,500.0
玉米,梯田,21.0,22.0,7.0,950.0,500.0
生菜 ,普通大棚 ,77.0,78.0,30.0,5000.0,2000.0
生菜 ,智慧大棚,111.0,90.5,30.0,4750.0,2100.0
生菜 ,水浇地,59.0,60.0,30.0,4100.0,1600.0
白灵菇,普通大棚 ,87.0,88.0,40.0,10000.0,10000.0
白萝卜,水浇地,83.0,84.0,36.0,4000.0,500.0
空心菜,普通大棚 ,79.0,80.0,32.0,12000.0,5000.0
空心菜,智慧大棚,113.0,92.5,32.0,11500.0,5250.0
空心菜,水浇地,61.0,62.0,32.0,10000.0,4100.0
红萝卜,水浇地,84.0,85.0,37.0,3000.0,500.0
红薯,山坡地,42.0,43.0,13.0,2000.0,2000.0
红薯,平旱地,12.0,13.0,13.0,2200.0,2000.0
红薯,梯田,27.0,28.0,13.0,2100.0,2000.0
红豆,山坡地,32.0,33.0,3.0,360.0,350.0
红豆,平旱地,2.0,3.0,3.0,400.0,350.0
红豆,梯田,17.0,18.0,3.0,380.0,350.0
绿豆,山坡地,33.0,34.0,4.0,315.0,350.0
绿豆,平旱地,3.0,4.0,4.0,350.0,350.0
绿豆,梯田,18.0,19.0,4.0,330.0,350.0
羊肚菌,普通大棚 ,88.0,89.0,41.0,1000.0,10000.0
芸豆,普通大棚 ,66.0,67.0,19.0,3600.0,2400.0
芸豆,智慧大棚,100.0,79.5,19.0,3400.0,2520.0
芸豆,水浇地,48.0,49.0,19.0,3000.0,2000.0
芹菜,普通大棚 ,81.0,82.0,34.0,6600.0,1100.0
芹菜,智慧大棚,115.0,94.5,34.0,6300.0,1150.0
芹菜,水浇地,63.0,64.0,34.0,5500.0,900.0
茄子,普通大棚 ,69.0,70.0,22.0,8000.0,2400.0
茄子,智慧大棚,103.0,82.5,22.0,7600.0,2520.0
茄子,水浇地,51.0,52.0,22.0,6400.0,2000.0
荞麦,山坡地,40.0,41.0,11.0,100.0,350.0
荞麦,平旱地,10.0,11.0,11.0,110.0,350.0
荞麦,梯田,25.0,26.0,11.0,105.0,350.0
莜麦,山坡地,43.0,44.0,14.0,380.0,400.0
莜麦,平旱地,13.0,14.0,14.0,420.0,400.0
莜麦,梯田,28.0,29.0,14.0,400.0,400.0
菜花,普通大棚 ,72.0,73.0,25.0,4000.0,3000.0
菜花,智慧大棚,106.0,85.5,25.0,3800.0,3150.0
菜花,水浇地,54.0,55.0,25.0,3300.0,2400.0
菠菜 ,普通大棚 ,70.0,71.0,23.0,3300.0,2700.0
菠菜 ,智慧大棚,104.0,83.5,23.0,3150.0,2850.0
菠菜 ,水浇地,52.0,53.0,23.0,2700.0,2300.0
西红柿,普通大棚 ,68.0,69.0,21.0,3000.0,2400.0
西红柿,智慧大棚,102.0,81.5,21.0,2850.0,2520.0
西红柿,水浇地,50.0,51.0,21.0,2400.0,2000.0
谷子,山坡地,37.0,38.0,8.0,360.0,360.0
谷子,平旱地,7.0,8.0,8.0,400.0,360.0
谷子,梯田,22.0,23.0,8.0,380.0,360.0
豇豆,普通大棚 ,64.0,65.0,17.0,3600.0,2400.0
豇豆,智慧大棚,98.0,77.5,17.0,3400.0,2520.0
豇豆,水浇地,46.0,47.0,17.0,3000.0,2000.0
辣椒,普通大棚 ,78.0,79.0,31.0,2000.0,1200.0
辣椒,智慧大棚,112.0,91.5,31.0,1900.0,1250.0
辣椒,水浇地,60.0,61.0,31.0,1600.0,1000.0
青椒,普通大棚 ,71.0,72.0,24.0,3000.0,2000.0
青椒,智慧大棚,105.0,84.5,24.0,2850.0,2100.0
青椒,水浇地,53.0,54.0,24.0,2400.0,1600.0
香菇,普通大棚 ,86.0,87.0,39.0,4000.0,2000.0
高粱,山坡地,38.0,39.0,9.0,570.0,400.0
高粱,平旱地,8.0,9.0,9.0,630.0,400.0
高粱,梯田,23.0,24.0,9.0,600.0,400.0
黄心菜,普通大棚 ,80.0,81.0,33.0,6000.0,2500.0
黄心菜,智慧大棚,114.0,93.5,33.0,5700.0,2625.0
黄心菜,水浇地,62.0,63.0,33.0,5000.0,2000.0
黄瓜,普通大棚 ,76.0,77.0,29.0,15000.0,3500.0
黄瓜,智慧大棚,110.0,89.5,29.0,14250.0,3675.0
黄瓜,水浇地,58.0,59.0,29.0,12000.0,2900.0
黄豆,山坡地,30.0,31.0,1.0,360.0,400.0
黄豆,平旱地,0.0,1.0,1.0,400.0,400.0
黄豆,梯田,15.0,16.0,1.0,380.0,400.0
黍子,山坡地,39.0,40.0,10.0,475.0,360.0
黍子,平旱地,9.0,10.0,10.0,525.0,360.0
黍子,梯田,24.0,25.0,10.0,500.0,360.0
黑豆,山坡地,31.0,32.0,2.0,450.0,400.0
黑豆,平旱地,1.0,2.0,2.0,500.0,400.0
黑豆,梯田,16.0,17.0,2.0,475.0,400.0
