Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,406.58193403043816,536.03825625,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,478.47221610114894,536.03825625,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,404.70709392099593,469.0334742187502,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,331.4988374655407,469.0334742187502,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,408.204798505138,469.0334742187502,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,876.7792332510842,603.0430382812501,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1031.627588961643,670.0478203125003,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,322.64919574472793,482.434430625,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,633.5324575025011,536.03825625,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,536.3772783268208,482.434430625,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,104.90301354774314,469.0334742187502,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,3086.308908205996,1340.0956406250002,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2085.0166749879136,2680.1912812500013,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,428.9861025568015,536.03825625,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,469.01704570715003,469.0334742187502,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,390.9777092941545,536.03825625,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,494.39297915434,536.03825625,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,387.35140145234476,469.0334742187502,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,374.45088608151,469.0334742187502,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,345.18059998556834,469.0334742187502,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,692.5351286121427,603.0430382812501,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,918.2257856807392,670.0478203125003,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,377.9326926976039,482.434430625,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,545.2955085896982,536.03825625,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,536.3378724963424,482.434430625,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,93.01698296868109,469.0334742187502,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2715.7785679158096,1340.0956406250002,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,1930.4444126551489,2680.1912812500013,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,356.7621039375874,536.03825625,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,420.91325814369185,469.0334742187502,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,345.8909735073026,536.03825625,2.50-4.00,3.25,770.0
31,32,2,黑豆,山坡地,单季,407.30098747880965,536.03825625,6.50-8.50,7.5,2975.0
32,33,3,红豆,山坡地,单季,318.99515140009055,469.0334742187502,7.50-9.00,8.25,2620.0
33,34,4,绿豆,山坡地,单季,307.52835547204256,469.0334742187502,6.00-8.00,7.0,1855.0
34,35,5,爬豆,山坡地,单季,356.3764134760328,469.0334742187502,6.00-7.50,6.75,2181.25
35,36,6,小麦,山坡地,单季,725.8613467109128,603.0430382812501,3.00-4.00,3.5,2070.0
36,37,7,玉米,山坡地,单季,855.2050519830708,670.0478203125003,2.50-3.50,3.0,2200.0
37,38,8,谷子,山坡地,单季,406.3458774799772,482.434430625,6.00-7.50,6.75,2070.0
38,39,9,高粱,山坡地,单季,510.73982258350424,536.03825625,5.50-6.50,6.0,3020.0
39,40,10,黍子,山坡地,单季,463.58197128613864,482.434430625,6.50-8.50,7.5,3202.5
