地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,季度,地块类型,地块面积/亩,没有种植豆类年数
A1,386.43019260502433,485.57142808133455,379.35958399972435,334.67866803826735,447.4233165298552,844.6315283327896,996.9044760301937,380.5631987566632,632.9913827319633,550.3845895806791,114.85435885941635,2949.166572586274,2029.2710072905768,424.22536592025637,522.4011679325754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,80.0,0
A2,386.43019260502433,485.57142808133455,379.35958399972435,334.67866803826735,447.4233165298552,844.6315283327896,996.9044760301937,380.5631987566632,632.9913827319633,550.3845895806791,114.85435885941635,2949.166572586274,2029.2710072905768,424.22536592025637,522.4011679325754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
A3,386.43019260502433,485.57142808133455,379.35958399972435,334.67866803826735,447.4233165298552,844.6315283327896,996.9044760301937,380.5631987566632,632.9913827319633,550.3845895806791,114.85435885941635,2949.166572586274,2029.2710072905768,424.22536592025637,522.4011679325754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,35.0,0
A4,386.43019260502433,485.57142808133455,379.35958399972435,334.67866803826735,447.4233165298552,844.6315283327896,996.9044760301937,380.5631987566632,632.9913827319633,550.3845895806791,114.85435885941635,2949.166572586274,2029.2710072905768,424.22536592025637,522.4011679325754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,72.0,0
A5,386.43019260502433,485.57142808133455,379.35958399972435,334.67866803826735,447.4233165298552,844.6315283327896,996.9044760301937,380.5631987566632,632.9913827319633,550.3845895806791,114.85435885941635,2949.166572586274,2029.2710072905768,424.22536592025637,522.4011679325754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,68.0,0
A6,386.43019260502433,485.57142808133455,379.35958399972435,334.67866803826735,447.4233165298552,844.6315283327896,996.9044760301937,380.5631987566632,632.9913827319633,550.3845895806791,114.85435885941635,2949.166572586274,2029.2710072905768,424.22536592025637,522.4011679325754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
B1,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B2,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,46.0,0
B3,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,40.0,0
B4,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,28.0,0
B5,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,25.0,0
B6,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,86.0,0
B7,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,55.0,0
B8,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,44.0,0
B9,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,50.0,0
B10,382.5058781979041,493.67221751013085,393.7740640436312,337.4659376786144,396.06356564384026,731.4371237262981,1087.635093809687,401.6401747694055,595.8125828372249,478.4279491270551,104.34210271725857,2725.058825638441,2106.3186125043767,370.90403687485673,491.77860089635186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,25.0,0
