作物名称,种植季次,产量,作物编号
黄豆,单季,41616.167861917915,1
黑豆,单季,17362.629129532077,2
红豆,单季,17247.494635867217,3
绿豆,单季,27247.216601795175,4
爬豆,单季,8116.491611050107,5
小麦,单季,209084.92695249972,6
玉米,单季,158714.01449579978,7
谷子,单季,52350.14807690404,8
高粱,单季,23721.55893654894,9
黍子,单季,9591.108851941583,10
荞麦,单季,1113.937103368725,11
南瓜,单季,24713.44594726632,12
红薯,单季,29227.376376985096,13
莜麦,单季,11250.02514046446,14
大麦,单季,8073.168687303017,15
水稻,单季,16705.1164120261,16
豇豆,第一季,21279.931184626712,17
豇豆,第二季,568.2507854478174,17
刀豆,第一季,15960.616286254044,18
刀豆,第二季,396.4323273717741,18
芸豆,第一季,3947.433649122856,19
芸豆,第二季,552.0268340388199,19
土豆,第一季,18796.16414015149,20
土豆,第二季,407.05168941925035,20
西红柿,第一季,21010.159756915924,21
西红柿,第二季,497.9719437394669,21
茄子,第一季,25954.622839173182,22
茄子,第二季,1331.4848464025229,22
菠菜 ,第二季,520.4607408751033,23
青椒,第一季,1015.9608272346418,24
青椒,第二季,481.8310633855408,24
菜花,第一季,2311.8148879466385,25
菜花,第二季,613.0656074263856,25
包菜,第一季,2457.65615256222,26
包菜,第二季,722.909410906071,26
油麦菜,第一季,2671.7648995849286,27
油麦菜,第二季,819.0169914475284,27
小青菜,第一季,20231.447692915677,28
小青菜,第二季,648.5041409502771,28
黄瓜,第一季,5405.036060556206,29
黄瓜,第二季,2545.6771807968544,29
生菜 ,第二季,818.885741097007,30
辣椒,第一季,746.3999261840155,31
辣椒,第二季,322.2856342032151,31
空心菜,第一季,2398.3856301743062,32
空心菜,第二季,2042.9979199376892,32
黄心菜,第一季,1073.5769344446956,33
黄心菜,第二季,946.701472070235,33
芹菜,第二季,1062.68528396751,34
大白菜,第二季,96945.83616117122,35
白萝卜,第二季,57493.7881587945,36
红萝卜,第二季,22498.66035176452,37
榆黄菇,第二季,7543.583777959233,38
香菇,第二季,5775.1732294905205,39
白灵菇,第二季,16063.778193698643,40
羊肚菌,第二季,4103.127760464322,41
