iter	Passed	Remaining
0	20	3491
1	41	3614
2	58	3349
3	72	3081
4	88	3017
5	104	2948
6	118	2854
7	130	2727
8	142	2625
9	153	2525
10	162	2427
11	173	2351
12	180	2254
13	188	2169
14	201	2152
15	210	2088
16	219	2044
17	227	1986
18	235	1930
19	241	1870
20	248	1822
21	255	1776
22	263	1741
23	271	1708
24	277	1665
25	283	1624
26	290	1590
27	295	1551
28	301	1519
29	306	1482
30	312	1452
31	318	1424
32	324	1396
33	330	1369
34	335	1340
35	339	1311
36	345	1287
37	350	1263
38	356	1241
39	361	1218
40	366	1196
41	371	1175
42	376	1156
43	382	1138
44	387	1118
45	392	1100
46	398	1085
47	404	1070
48	410	1054
49	415	1037
50	420	1022
51	425	1005
52	430	991
53	435	975
54	440	960
55	445	946
56	450	932
57	454	917
58	459	902
59	464	889
60	469	876
61	473	862
62	478	850
63	483	838
64	488	825
65	493	814
66	497	801
67	502	790
68	507	779
69	511	767
70	516	755
71	520	744
72	525	734
73	529	723
74	534	712
75	539	703
76	543	692
77	548	682
78	553	673
79	558	663
80	564	655
81	570	646
82	574	637
83	579	627
84	584	619
85	589	610
86	594	601
87	599	592
88	604	584
89	609	575
90	614	567
91	619	558
92	624	550
93	629	542
94	634	534
95	639	525
96	643	517
97	649	510
98	654	502
99	659	494
100	664	486
101	669	478
102	673	470
103	678	463
104	683	455
105	687	447
106	692	440
107	697	432
108	702	425
109	707	417
110	712	410
111	717	403
112	722	396
113	728	389
114	734	383
115	739	376
116	744	369
117	750	362
118	755	355
119	761	348
120	766	341
121	767	333
122	772	326
123	777	319
124	782	312
125	787	306
126	792	299
127	797	292
128	802	286
129	807	279
130	812	272
131	817	266
132	822	259
133	828	253
134	834	247
135	839	240
136	845	234
137	850	227
138	855	221
139	860	215
140	865	208
141	869	202
142	875	195
143	879	189
144	884	182
145	889	176
146	893	170
147	898	163
148	902	157
149	907	151
150	912	145
151	918	138
152	923	132
153	927	126
154	931	120
155	936	114
156	940	107
157	944	101
158	949	95
159	954	89
160	958	83
161	963	77
162	968	71
163	972	65
164	977	59
165	982	53
166	986	47
167	991	41
168	995	35
169	1000	29
170	1005	23
171	1010	17
172	1015	11
173	1020	5
174	1025	0
9144	37257
130	19148	36834
131	19152	36419
132	19158	36011
133	19162	35608
134	19167	35211
135	19172	34819
136	19177	34435
137	19182	34055
138	19187	33681
139	19192	33313
140	19197	32949
141	19202	32589
142	19207	32236
143	19212	31887
144	19217	31543
145	19221	31202
146	19226	30866
147	19230	30535
148	19235	30209
149	19240	29887
150	19245	29569
151	19249	29254
152	19253	28943
153	19258	28637
154	19262	28334
155	19267	28036
156	19272	27742
157	19276	27450
158	19282	27164
159	19286	26880
160	19291	26600
161	19296	26323
162	19301	26050
163	19305	25780
164	19310	25513
165	19314	25248
166	19319	24987
167	19323	24729
168	19328	24474
169	19332	24222
170	19336	23973
171	19341	23727
172	19346	23484
173	19351	23243
174	19355	23005
175	19360	22771
176	19365	22538
177	19370	22308
178	19374	22080
179	19378	21855
180	19382	21631
181	19386	21410
182	19391	21192
183	19395	20976
184	19400	20763
185	19405	20553
186	19410	20344
187	19414	20137
188	19419	19933
189	19425	19732
190	19429	19531
191	19433	19332
192	19437	19135
193	19441	18940
194	19445	18747
195	19448	18555
196	19452	18366
197	19456	18179
198	19460	17993
199	19464	17810
200	19468	17628
201	19471	17447
202	19475	17269
203	19479	17092
204	19483	16917
205	19487	16743
206	19490	16571
207	19493	16401
208	19497	16232
209	19501	16065
210	19504	15899
211	19508	15735
212	19511	15572
213	19515	15411
214	19518	15251
215	19522	15093
216	19527	14938
217	19531	14782
218	19535	14629
219	19538	14476
220	19541	14324
221	19544	14174
222	19548	14025
223	19552	13878
224	19555	13732
225	19558	13587
226	19562	13443
227	19566	13301
228	19569	13160
229	19573	13020
230	19577	12881
231	19581	12744
232	19585	12608
233	19589	12473
234	19593	12339
235	19596	12206
236	19600	12074
237	19603	11943
238	19607	11813
239	19610	11684
240	19614	11557
241	19618	11430
242	19622	11305
243	19626	11180
244	19630	11057
245	19634	10934
246	19637	10812
247	19640	106912248	19644	10288	249	19648289	286250	19290	2868	9251291	2871	901
292	2875	889
293	2878	877
294	2881	865
295	2885	853
296	2888	841
297	2891	830
298	2894	818
299	2898	807
300	2901	795
301	2904	784
302	2908	772
303	2911	761
304	2915	750
305	2918	739
306	2921	728
307	2924	716
308	2927	705
309	2931	694
310	2935	683
311	2938	672
312	2942	662
313	2945	651
314	2949	640
315	2952	629
316	2955	619
317	2959	608
318	2962	598
319	2965	587
320	2969	577
321	2972	566
322	2975	556
323	2979	545
324	2982	535
325	2985	525
326	2988	514
327	2991	504
328	2995	494
329	2998	484
330	3001	474
331	3005	464
332	3008	454
333	3012	444
334	3015	434
335	3018	424
336	3021	414
337	3025	405
338	3028	395
339	3032	385
340	3036	376
341	3039	366
342	3042	356
343	3045	347
344	3048	337
345	3052	328
346	3055	318
347	3058	309
348	3062	300
349	3065	290
350	3068	281
351	3072	272
352	3075	262
353	3078	253
354	3082	244
355	3085	235
356	3089	226
357	3092	217
358	3095	208
359	3099	199
360	3103	190
361	3107	181
362	3112	172
363	3116	163
364	3120	154
365	3124	145
366	3127	137
367	3130	128
368	3134	119
369	3138	110
370	3141	102
371	3145	93
372	3148	84
373	3152	76
374	3155	67
375	3159	59
376	3162	50
377	3166	42
378	3169	33
379	3173	25
380	3176	16
381	3180	8
382	3183	0
9
330	19922	3129
331	19926	3060
332	19929	2992
333	19933	2924
334	19937	2856
335	19940	2789
336	19944	2722
337	19948	2655
338	19951	2589
339	19954	2523
340	19958	2458
341	19961	2393
342	19964	2328
343	19968	2263
344	19972	2199
345	19975	2136
346	19978	2072
347	19982	2009
348	19985	1947
349	19989	1884
350	19993	1822
351	19997	1761
352	20001	1699
353	20004	1638
354	20007	1578
355	20011	1517
356	20015	1457
357	20018	1397
358	20021	1338
359	20025	1279
360	20029	1220
361	20032	1162
362	20036	1103
363	20040	1046
364	20044	988
365	20047	931
366	20051	874
367	20054	817
368	20058	761
369	20061	704
370	20064	648
371	20068	593
372	20071	538
373	20074	483
374	20077	428
375	20080	373
376	20083	319
377	20087	265
378	20090	212
379	20093	158
380	20096	105
381	20099	52
382	20103	0
68
439	5997	354
440	6001	340
441	6005	326
442	6009	311
443	6014	297
444	6019	284
445	6023	270
446	6029	256
447	6034	242
448	6039	228
449	6043	214
450	6048	201
451	6054	187
452	6058	173
453	6063	160
454	6067	146
455	6071	133
456	6077	119
457	6081	106
458	6085	92
459	6089	79
460	6093	66
461	6098	52
462	6102	39
463	6106	26
464	6111	13
465	6115	0
0
