Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,380.14188177363116,486.20250000000004,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,494.98544557550235,486.20250000000004,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,391.63229524605043,425.4271875000001,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,325.45625068976597,425.4271875000001,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,426.03763746717397,425.4271875000001,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,882.224408887027,546.9778125,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1016.7015614391788,607.7531250000001,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,366.97664686789585,437.58225000000004,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,636.0455193837414,486.20250000000004,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,537.7624225898251,437.58225000000004,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,111.97535569815938,425.4271875000001,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,2978.995855658858,1215.5062500000001,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2025.9128229932955,2431.0125000000003,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,415.26326114409284,486.20250000000004,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,501.5710182949548,425.4271875000001,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,391.79431645663965,486.20250000000004,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,509.7748988639361,486.20250000000004,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,384.4930369890075,425.4271875000001,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,363.5714738243003,425.4271875000001,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,363.3628464882012,425.4271875000001,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,715.9394828666144,546.9778125,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,899.8772803516782,607.7531250000001,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,357.0284234622785,437.58225000000004,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,585.6759154934662,486.20250000000004,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,508.86008377168184,437.58225000000004,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,103.79589678632355,425.4271875000001,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2696.2830151951657,1215.5062500000001,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,1995.7181236924318,2431.0125000000003,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,364.08203765162074,486.20250000000004,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,421.52542200118745,425.4271875000001,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,359.2415903322722,486.20250000000004,2.50-4.00,3.25,770.0
31,32,2,黑豆,山坡地,单季,451.4662481916338,486.20250000000004,6.50-8.50,7.5,2975.0
32,33,3,红豆,山坡地,单季,341.26915798056655,425.4271875000001,7.50-9.00,8.25,2620.0
33,34,4,绿豆,山坡地,单季,323.07269042136454,425.4271875000001,6.00-8.00,7.0,1855.0
34,35,5,爬豆,山坡地,单季,367.16550283666146,425.4271875000001,6.00-7.50,6.75,2181.25
35,36,6,小麦,山坡地,单季,718.2929058137016,546.9778125,3.00-4.00,3.5,2070.0
36,37,7,玉米,山坡地,单季,845.3211789058782,607.7531250000001,2.50-3.50,3.0,2200.0
37,38,8,谷子,山坡地,单季,389.1054260934822,437.58225000000004,6.00-7.50,6.75,2070.0
38,39,9,高粱,山坡地,单季,509.10911759895623,486.20250000000004,5.50-6.50,6.0,3020.0
39,40,10,黍子,山坡地,单季,460.89703273906366,437.58225000000004,6.50-8.50,7.5,3202.5
40,41,11,荞麦,山坡地,单季,108.15176945896583,425.4271875000001,30.00-50.00,40.0,3650.0
41,42,12,南瓜,山坡地,单季,2772.967606797539,1215.5062500000001,1.00-2.00,1.5,3050.0
42,43,13,红薯,山坡地,单季,1886.233137128008,2431.0125000000003,2.50-4.00,3.25,4500.0
43,44,14,莜麦,山坡地,单季,361.6528044284028,486.20250000000004,5.00-6.00,5.5,1690.0
44,45,15,大麦,山坡地,单季,458.72461736400527,425.4271875000001,3.00-4.00,3.5,1312.5
45,46,16,水稻,水浇地,单季,506.5313680427318,826.5442500000003,6.00-8.00,7.0,2820.0
46,47,17,豇豆,水浇地,第一季,2924.2365486639383,2431.0125000000003,7.00-9.00,9.72405,22000.0
47,48,18,刀豆,水浇地,第一季,1977.2277066647941,1215.5062500000001,5.50-8.00,8.2046671875,12500.0
48,49,19,芸豆,水浇地,第一季,2960.620733251913,2431.0125000000003,5.00-8.00,7.9007906250000035,17500.0
49,50,20,土豆,水浇地,第一季,2172.604058643658,2431.0125000000003,3.00-4.50,4.558148437500002,5500.0
50,51,21,西红柿,水浇地,第一季,2386.8828013178395,2431.0125000000003,5.00-7.50,7.596914062500001,13000.0
51,52,22,茄子,水浇地,第一季,7029.013375021098,2431.0125000000003,5.00-6.00,6.685284375000002,33200.0
52,53,23,菠菜 ,水浇地,第一季,2583.559991058552,2795.664375,4.80-6.70,6.9891609374999994,13225.0
53,54,24,青椒,水浇地,第一季,2256.3253194408085,1944.8100000000002,4.00-6.50,6.381407812500002,11000.0
54,55,25,菜花,水浇地,第一季,3272.060029051513,2917.215,5.00-6.00,6.685284375000002,15750.0
55,56,26,包菜,水浇地,第一季,3792.8906672666994,3524.9681250000003,5.50-7.50,7.9007906250000035,21150.0
56,57,27,油麦菜,水浇地,第一季,4220.587543993635,1944.8100000000002,4.00-6.00,6.077531250000001,18900.0
57,58,28,小青菜,水浇地,第一季,3270.864980586863,1944.8100000000002,5.00-6.50,6.9891609374999994,16800.0
58,59,29,黄瓜,水浇地,第一季,12432.652792350247,3524.9681250000003,6.00-8.00,8.50854375,81100.0
59,60,30,生菜 ,水浇地,第一季,4100.946279075296,1944.8100000000002,4.50-6.00,6.381407812500002,19925.0
60,61,31,辣椒,水浇地,第一季,1564.9624846410732,1215.5062500000001,6.00-8.50,8.812420312500002,10600.0
61,62,32,空心菜,水浇地,第一季,9449.013071325502,4983.575625,3.00-6.00,5.469778125000002,40900.0
62,63,33,黄心菜,水浇地,第一季,5398.057816129463,2431.0125000000003,4.00-5.00,5.469778125000002,20500.0
63,64,34,芹菜,水浇地,第一季,5242.810612029831,1093.955625,3.20-4.80,4.862025000000001,21100.0
64,65,17,豇豆,普通大棚 ,第一季,3268.92565975223,2917.215,7.00-9.00,9.72405,26400.0
65,66,18,刀豆,普通大棚 ,第一季,2182.3699439692336,1458.6075,5.50-8.00,8.2046671875,15000.0
66,67,19,芸豆,普通大棚 ,第一季,4018.6514449156575,2917.215,5.00-8.00,7.9007906250000035,21000.0
67,68,20,土豆,普通大棚 ,第一季,2474.8238278529866,2917.215,3.00-4.50,4.558148437500002,6600.0
68,69,21,西红柿,普通大棚 ,第一季,3349.0472346365523,2917.215,5.00-7.50,7.596914062500001,16350.0
69,70,22,茄子,普通大棚 ,第一季,7103.888557836553,2917.215,5.00-6.00,6.685284375000002,41600.0
70,71,23,菠菜 ,普通大棚 ,第一季,3645.6582497074455,3281.866875,4.80-6.70,6.9891609374999994,16275.0
71,72,24,青椒,普通大棚 ,第一季,2769.4217847246064,2431.0125000000003,4.00-6.50,6.381407812500002,13750.0
72,73,25,菜花,普通大棚 ,第一季,4247.5137287865045,3646.51875,5.00-6.00,6.685284375000002,19000.0
73,74,26,包菜,普通大棚 ,第一季,4533.925141939998,4254.271875,5.50-7.50,7.9007906250000035,25750.0
74,75,27,油麦菜,普通大棚 ,第一季,4868.3619810452465,2431.0125000000003,4.00-6.00,6.077531250000001,23000.0
75,76,28,小青菜,普通大棚 ,第一季,3931.468362533579,2431.0125000000003,5.00-6.50,6.9891609374999994,21000.0
76,77,29,黄瓜,普通大棚 ,第一季,16701.03759747107,4254.271875,6.00-8.00,8.50854375,101500.0
77,78,30,生菜 ,普通大棚 ,第一季,5355.31315756605,2431.0125000000003,4.50-6.00,6.381407812500002,24250.0
78,79,31,辣椒,普通大棚 ,第一季,1686.3308779883205,1458.6075,6.00-8.50,8.812420312500002,13300.0
79,80,32,空心菜,普通大棚 ,第一季,12107.569316623634,6077.53125,3.00-6.00,5.469778125000002,49000.0
80,81,33,黄心菜,普通大棚 ,第一季,5815.478702328058,3038.765625,4.00-5.00,5.469778125000002,24500.0
81,82,34,芹菜,普通大棚 ,第一季,5814.513376968982,1337.056875,3.20-4.80,4.862025000000001,25300.0
82,83,35,大白菜,水浇地,第二季,5319.768469432967,2431.0125000000003,2.00-3.00,3.0387656250000004,10500.0
83,84,36,白萝卜,水浇地,第二季,4357.033541043955,607.7531250000001,2.00-3.00,3.0387656250000004,9500.0
84,85,37,红萝卜,水浇地,第二季,3252.2964636021784,607.7531250000001,2.50-4.00,3.9503953125000013,9250.0
85,86,38,榆黄菇,普通大棚 ,第二季,5133.208926935119,3646.51875,50.00-65.00,51.13051428534673,284500.0
86,87,39,香菇,普通大棚 ,第二季,3731.984661063999,2431.0125000000003,18.00-20.00,17.146065451349397,74000.0
87,88,40,白灵菇,普通大棚 ,第二季,10248.442287930797,12155.0625,14.00-18.00,14.275214367780418,150000.0
88,89,41,羊肚菌,普通大棚 ,第二季,992.4745259830063,12155.0625,80.00-120.00,81.45062499999999,90000.0
89,90,17,豇豆,智慧大棚,第二季,3110.400014639595,3208.9365000000003,8.40-10.80,11.668860000000002,28080.000000000004
90,91,18,刀豆,智慧大棚,第二季,2626.6703713516536,1604.4682500000001,6.60-9.60,9.845600625000005,16500.0
91,92,19,芸豆,智慧大棚,第二季,3149.4293716188836,3208.9365000000003,6.00-9.60,9.48094875,22320.0
92,93,20,土豆,智慧大棚,第二季,2104.7401506544543,3208.9365000000003,3.60-5.40,5.469778125000002,7260.0
93,94,21,西红柿,智慧大棚,第二季,2859.8018203473152,3208.9365000000003,6.00-9.00,9.116296875000002,17610.0
94,95,22,茄子,智慧大棚,第二季,7207.7483286716815,3208.9365000000003,6.00-7.20,8.022341250000002,44880.0
