作物名称,种植季次,产量,作物编号
黄豆,单季,53468.71881746671,1
黑豆,单季,24019.786089358604,2
红豆,单季,24266.714573158133,3
绿豆,单季,31157.18998316552,4
爬豆,单季,9847.163991721853,5
小麦,单季,268023.91524726426,6
玉米,单季,200304.61489751178,7
谷子,单季,71062.239145171,8
高粱,单季,30425.44025179502,9
黍子,单季,13438.430966800208,10
荞麦,单季,1397.6320204271017,11
南瓜,单季,37558.525740009325,12
红薯,单季,35160.46813838075,13
莜麦,单季,13644.86591381507,14
大麦,单季,10607.756960462504,15
水稻,单季,20645.017570902073,16
豇豆,第一季,36926.48193236149,17
豇豆,第二季,978.6856396757067,17
刀豆,第一季,27183.991385474077,18
刀豆,第二季,663.4500428781504,18
芸豆,第一季,6381.1745396245315,19
芸豆,第二季,929.5991548368618,19
土豆,第一季,30440.92625907871,20
土豆,第二季,663.8852535038423,20
西红柿,第一季,34044.58076883936,21
西红柿,第二季,786.3088640552412,21
茄子,第一季,44986.06517317012,22
茄子,第二季,2169.3924927615276,22
菠菜 ,第二季,908.4597276738627,23
青椒,第一季,1777.6140256910176,24
青椒,第二季,824.233907473424,24
菜花,第一季,3671.6512831024825,25
菜花,第二季,1081.1403095456233,25
包菜,第一季,3960.2123303994576,26
包菜,第二季,1246.0432653932944,26
油麦菜,第一季,4702.469019557078,27
油麦菜,第二季,1339.3041081877927,27
小青菜,第一季,34077.26806357311,28
小青菜,第二季,1100.9335181813276,28
黄瓜,第一季,9098.217896787684,29
黄瓜,第二季,3944.6379070670673,29
生菜 ,第二季,1379.9950169379604,30
辣椒,第一季,1254.3625347587938,31
辣椒,第二季,503.7927769490733,31
空心菜,第一季,3645.3131197392945,32
空心菜,第二季,3097.5152965252987,32
黄心菜,第一季,1702.7354351987492,33
黄心菜,第二季,1580.9519664643913,33
芹菜,第二季,1727.9414044012062,34
大白菜,第二季,147034.08150421045,35
白萝卜,第二季,103138.61615143597,36
红萝卜,第二季,37666.36969154323,37
榆黄菇,第二季,8871.545266147088,38
香菇,第二季,7230.315513250817,39
白灵菇,第二季,16640.870865298813,40
羊肚菌,第二季,4027.3031269899307,41
