地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,季度,地块类型,地块面积/亩,没有种植豆类年数
A1,399.00963346862005,472.7451871656397,400.0246181409653,331.6024659791769,431.408990954484,924.166171186104,1016.273365122037,346.64086587721283,620.6862441539998,557.0952379398054,110.5536516085836,3045.444645932908,2100.5745666536773,425.1671942680597,487.5881358931437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,80.0,0
A2,399.00963346862005,472.7451871656397,400.0246181409653,331.6024659791769,431.408990954484,924.166171186104,1016.273365122037,346.64086587721283,620.6862441539998,557.0952379398054,110.5536516085836,3045.444645932908,2100.5745666536773,425.1671942680597,487.5881358931437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
A3,399.00963346862005,472.7451871656397,400.0246181409653,331.6024659791769,431.408990954484,924.166171186104,1016.273365122037,346.64086587721283,620.6862441539998,557.0952379398054,110.5536516085836,3045.444645932908,2100.5745666536773,425.1671942680597,487.5881358931437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,35.0,0
A4,399.00963346862005,472.7451871656397,400.0246181409653,331.6024659791769,431.408990954484,924.166171186104,1016.273365122037,346.64086587721283,620.6862441539998,557.0952379398054,110.5536516085836,3045.444645932908,2100.5745666536773,425.1671942680597,487.5881358931437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,72.0,0
A5,399.00963346862005,472.7451871656397,400.0246181409653,331.6024659791769,431.408990954484,924.166171186104,1016.273365122037,346.64086587721283,620.6862441539998,557.0952379398054,110.5536516085836,3045.444645932908,2100.5745666536773,425.1671942680597,487.5881358931437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,68.0,0
A6,399.00963346862005,472.7451871656397,400.0246181409653,331.6024659791769,431.408990954484,924.166171186104,1016.273365122037,346.64086587721283,620.6862441539998,557.0952379398054,110.5536516085836,3045.444645932908,2100.5745666536773,425.1671942680597,487.5881358931437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
B1,394.5998441541091,517.5047309957065,402.8547979812519,362.19186847325113,347.8198178807618,702.1205036130102,907.9544291566252,361.04828306091997,572.4193864492137,520.7616480165578,103.1627209313118,2614.3825508334776,1884.7503718144321,365.3058716852417,420.7481317786464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B2,394.5998441541091,517.5047309957065,402.8547979812519,362.19186847325113,347.8198178807618,702.1205036130102,907.9544291566252,361.04828306091997,572.4193864492137,520.7616480165578,103.1627209313118,2614.3825508334776,1884.7503718144321,365.3058716852417,420.7481317786464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,46.0,0
B3,394.5998441541091,517.5047309957065,402.8547979812519,362.19186847325113,347.8198178807618,702.1205036130102,907.9544291566252,361.04828306091997,572.4193864492137,520.7616480165578,103.1627209313118,2614.3825508334776,1884.7503718144321,365.3058716852417,420.7481317786464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,40.0,0
B4,394.5998441541091,517.5047309957065,402.8547979812519,362.19186847325113,347.8198178807618,702.1205036130102,907.9544291566252,361.04828306091997,572.4193864492137,520.7616480165578,103.1627209313118,2614.3825508334776,1884.7503718144321,365.3058716852417,420.7481317786464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,28.0,0
