地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,季度,地块类型,地块面积/亩,没有种植豆类年数
A1,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,80.0,0
A2,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
A3,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,35.0,0
A4,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,72.0,0
A5,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,68.0,0
A6,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
B1,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B2,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,46.0,0
B3,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,40.0,0
B4,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,28.0,0
B5,536.03825625,536.03825625,469.0334742187501,469.0334742187501,469.0334742187501,603.0430382812501,670.0478203125002,482.434430625,536.03825625,482.434430625,469.0334742187501,1340.0956406250002,2680.191281250001,536.03825625,469.0334742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,25.0,0
