地块名称,地块类型,地块面积/亩,种植地块,作物编号,作物名称,作物类型,种植面积/亩,种植季次,序号,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩),产量
A1,平旱地,80.0,A1,6,小麦,粮食,80.0,单季,6,800.0,450.0,3.00-4.00,3.5,2350.0,64000.0
A2,平旱地,55.0,A2,7,玉米,粮食,55.0,单季,7,1000.0,500.0,2.50-3.50,3.0,2500.0,55000.0
A3,平旱地,35.0,A3,7,玉米,粮食,35.0,单季,7,1000.0,500.0,2.50-3.50,3.0,2500.0,35000.0
A4,平旱地,72.0,A4,1,黄豆,粮食（豆类）,72.0,单季,1,400.0,400.0,2.50-4.00,3.25,900.0,28800.0
A5,平旱地,68.0,A5,4,绿豆,粮食（豆类）,68.0,单季,4,350.0,350.0,6.00-8.00,7.0,2100.0,23800.0
A6,平旱地,55.0,A6,8,谷子,粮食,55.0,单季,8,400.0,360.0,6.00-7.50,6.75,2340.0,22000.0
B1,梯田,60.0,B1,6,小麦,粮食,60.0,单季,21,760.0,450.0,3.00-4.00,3.5,2210.0,45600.0
B7,梯田,55.0,B7,6,小麦,粮食,55.0,单季,21,760.0,450.0,3.00-4.00,3.5,2210.0,41800.0
B2,梯田,46.0,B2,2,黑豆,粮食（豆类）,46.0,单季,17,475.0,400.0,6.50-8.50,7.5,3162.5,21850.0
B3,梯田,40.0,B3,3,红豆,粮食（豆类）,40.0,单季,18,380.0,350.0,7.50-9.00,8.25,2785.0,15200.0
B4,梯田,28.0,B4,4,绿豆,粮食（豆类）,28.0,单季,19,330.0,350.0,6.00-8.00,7.0,1960.0,9240.0
B5,梯田,25.0,B5,5,爬豆,粮食（豆类）,25.0,单季,20,395.0,350.0,6.00-7.50,6.75,2316.25,9875.0
B6,梯田,86.0,B6,8,谷子,粮食,86.0,单季,23,380.0,360.0,6.00-7.50,6.75,2205.0,32680.0
B8,梯田,44.0,B8,8,谷子,粮食,44.0,单季,23,380.0,360.0,6.00-7.50,6.75,2205.0,16720.0
B9,梯田,50.0,B9,9,高粱,粮食,50.0,单季,24,600.0,400.0,5.50-6.50,6.0,3200.0,30000.0
B10,梯田,25.0,B10,10,黍子,粮食,25.0,单季,25,500.0,360.0,6.50-8.50,7.5,3390.0,12500.0
B11,梯田,60.0,B11,1,黄豆,粮食（豆类）,60.0,单季,16,380.0,400.0,2.50-4.00,3.25,835.0,22800.0
B12,梯田,45.0,B12,7,玉米,粮食,45.0,单季,22,950.0,500.0,2.50-3.50,3.0,2350.0,42750.0
B13,梯田,35.0,B13,14,莜麦,粮食,35.0,单季,29,400.0,400.0,5.00-6.00,5.5,1800.0,14000.0
B14,梯田,20.0,B14,15,大麦,粮食,20.0,单季,30,500.0,350.0,3.00-4.00,3.5,1400.0,10000.0
C1,山坡地,15.0,C1,11,荞麦,粮食,15.0,单季,41,100.0,350.0,30.00-50.00,40.0,3650.0,1500.0
C2,山坡地,13.0,C2,12,南瓜,粮食,13.0,单季,42,2700.0,1000.0,1.00-2.00,1.5,3050.0,35100.0
C3,山坡地,15.0,C3,1,黄豆,粮食（豆类）,15.0,单季,31,360.0,400.0,2.50-4.00,3.25,770.0,5400.0
C4,山坡地,18.0,C4,13,红薯,粮食,18.0,单季,43,2000.0,2000.0,2.50-4.00,3.25,4500.0,36000.0
C5,山坡地,27.0,C5,6,小麦,粮食,27.0,单季,36,720.0,450.0,3.00-4.00,3.5,2070.0,19440.0
C6,山坡地,20.0,C6,3,红豆,粮食（豆类）,20.0,单季,33,360.0,350.0,7.50-9.00,8.25,2620.0,7200.0
D1,水浇地,15.0,D1,20,土豆,蔬菜 ,15.0,第一季,50,2000.0,2000.0,3.00-4.50,3.75,5500.0,30000.0
D1,水浇地,15.0,D1,36,白萝卜,蔬菜 ,15.0,第二季,84,4000.0,500.0,2.00-3.00,2.5,9500.0,60000.0
D5,水浇地,10.0,D5,36,白萝卜,蔬菜 ,10.0,第二季,84,4000.0,500.0,2.00-3.00,2.5,9500.0,40000.0
D2,水浇地,10.0,D2,28,小青菜,蔬菜 ,10.0,第一季,58,3200.0,1600.0,5.00-6.50,5.75,16800.0,32000.0
D2,水浇地,10.0,D2,35,大白菜,蔬菜 ,10.0,第二季,83,5000.0,2000.0,2.00-3.00,2.5,10500.0,50000.0
D3,水浇地,14.0,D3,35,大白菜,蔬菜 ,14.0,第二季,83,5000.0,2000.0,2.00-3.00,2.5,10500.0,70000.0
D4,水浇地,6.0,D4,35,大白菜,蔬菜 ,6.0,第二季,83,5000.0,2000.0,2.00-3.00,2.5,10500.0,30000.0
D3,水浇地,14.0,D3,21,西红柿,蔬菜 ,14.0,第一季,51,2400.0,2000.0,5.00-7.50,6.25,13000.0,33600.0
D4,水浇地,6.0,D4,22,茄子,蔬菜 ,6.0,第一季,52,6400.0,2000.0,5.00-6.00,5.5,33200.0,38400.0
D5,水浇地,10.0,D5,17,豇豆,蔬菜（豆类）,10.0,第一季,47,3000.0,2000.0,7.00-9.00,8.0,22000.0,30000.0
D6,水浇地,12.0,D6,18,刀豆,蔬菜（豆类）,12.0,第一季,48,2000.0,1000.0,5.50-8.00,6.75,12500.0,24000.0
D6,水浇地,12.0,D6,37,红萝卜,蔬菜 ,12.0,第二季,85,3000.0,500.0,2.50-4.00,3.25,9250.0,36000.0
D7,水浇地,22.0,D7,16,水稻,粮食,22.0,单季,46,500.0,680.0,6.00-8.00,7.0,2820.0,11000.0
D8,水浇地,20.0,D8,16,水稻,粮食,20.0,单季,46,500.0,680.0,6.00-8.00,7.0,2820.0,10000.0
E1,普通大棚 ,0.6,E1,18,刀豆,蔬菜（豆类）,0.6,第一季,66,2400.0,1200.0,5.50-8.00,6.75,15000.0,1440.0
E9,普通大棚 ,0.6,E9,18,刀豆,蔬菜（豆类）,0.6,第一季,66,2400.0,1200.0,5.50-8.00,6.75,15000.0,1440.0
E1,普通大棚 ,0.6,E1,38,榆黄菇,食用菌,0.6,第二季,86,5000.0,3000.0,50.00-65.00,57.5,284500.0,3000.0
E2,普通大棚 ,0.6,E2,38,榆黄菇,食用菌,0.6,第二季,86,5000.0,3000.0,50.00-65.00,57.5,284500.0,3000.0
E3,普通大棚 ,0.6,E3,38,榆黄菇,食用菌,0.6,第二季,86,5000.0,3000.0,50.00-65.00,57.5,284500.0,3000.0
E2,普通大棚 ,0.6,E2,24,青椒,蔬菜 ,0.6,第一季,72,3000.0,2000.0,4.00-6.50,5.25,13750.0,1800.0
E3,普通大棚 ,0.6,E3,25,菜花,蔬菜 ,0.6,第一季,73,4000.0,3000.0,5.00-6.00,5.5,19000.0,2400.0
E4,普通大棚 ,0.6,E4,26,包菜,蔬菜 ,0.6,第一季,74,4500.0,3500.0,5.50-7.50,6.5,25750.0,2700.0
E4,普通大棚 ,0.6,E4,39,香菇,食用菌,0.6,第二季,87,4000.0,2000.0,18.00-20.00,19.0,74000.0,2400.0
E5,普通大棚 ,0.6,E5,39,香菇,食用菌,0.6,第二季,87,4000.0,2000.0,18.00-20.00,19.0,74000.0,2400.0
E6,普通大棚 ,0.6,E6,39,香菇,食用菌,0.6,第二季,87,4000.0,2000.0,18.00-20.00,19.0,74000.0,2400.0
E5,普通大棚 ,0.6,E5,28,小青菜,蔬菜 ,0.6,第一季,76,4000.0,2000.0,5.00-6.50,5.75,21000.0,2400.0
E6,普通大棚 ,0.6,E6,27,油麦菜,蔬菜 ,0.6,第一季,75,5000.0,2000.0,4.00-6.00,5.0,23000.0,3000.0
E15,普通大棚 ,0.6,E15,27,油麦菜,蔬菜 ,0.3,第一季,75,5000.0,2000.0,4.00-6.00,5.0,23000.0,1500.0
E7,普通大棚 ,0.6,E7,19,芸豆,蔬菜（豆类）,0.6,第一季,67,3600.0,2400.0,5.00-8.00,6.5,21000.0,2160.0
E8,普通大棚 ,0.6,E8,19,芸豆,蔬菜（豆类）,0.6,第一季,67,3600.0,2400.0,5.00-8.00,6.5,21000.0,2160.0
E7,普通大棚 ,0.6,E7,40,白灵菇,食用菌,0.6,第二季,88,10000.0,10000.0,14.00-18.00,16.0,150000.0,6000.0
E8,普通大棚 ,0.6,E8,40,白灵菇,食用菌,0.6,第二季,88,10000.0,10000.0,14.00-18.00,16.0,150000.0,6000.0
E9,普通大棚 ,0.6,E9,40,白灵菇,食用菌,0.6,第二季,88,10000.0,10000.0,14.00-18.00,16.0,150000.0,6000.0
E10,普通大棚 ,0.6,E10,17,豇豆,蔬菜（豆类）,0.6,第一季,65,3600.0,2400.0,7.00-9.00,8.0,26400.0,2160.0
E11,普通大棚 ,0.6,E11,17,豇豆,蔬菜（豆类）,0.6,第一季,65,3600.0,2400.0,7.00-9.00,8.0,26400.0,2160.0
E10,普通大棚 ,0.6,E10,41,羊肚菌,食用菌,0.6,第二季,89,1000.0,10000.0,80.00-120.00,100.0,90000.0,600.0
E11,普通大棚 ,0.6,E11,41,羊肚菌,食用菌,0.6,第二季,89,1000.0,10000.0,80.00-120.00,100.0,90000.0,600.0
E12,普通大棚 ,0.6,E12,41,羊肚菌,食用菌,0.6,第二季,89,1000.0,10000.0,80.00-120.00,100.0,90000.0,600.0
E13,普通大棚 ,0.6,E13,41,羊肚菌,食用菌,0.6,第二季,89,1000.0,10000.0,80.00-120.00,100.0,90000.0,600.0
E14,普通大棚 ,0.6,E14,41,羊肚菌,食用菌,0.6,第二季,89,1000.0,10000.0,80.00-120.00,100.0,90000.0,600.0
E15,普通大棚 ,0.6,E15,41,羊肚菌,食用菌,0.6,第二季,89,1000.0,10000.0,80.00-120.00,100.0,90000.0,600.0
E16,普通大棚 ,0.6,E16,41,羊肚菌,食用菌,0.6,第二季,89,1000.0,10000.0,80.00-120.00,100.0,90000.0,600.0
E12,普通大棚 ,0.6,E12,22,茄子,蔬菜 ,0.6,第一季,70,8000.0,2400.0,5.00-6.00,5.5,41600.0,4800.0
E13,普通大棚 ,0.6,E13,21,西红柿,蔬菜 ,0.6,第一季,69,3000.0,2400.0,5.00-7.50,6.25,16350.0,1800.0
E14,普通大棚 ,0.6,E14,29,黄瓜,蔬菜 ,0.6,第一季,77,15000.0,3500.0,6.00-8.00,7.0,101500.0,9000.0
E16,普通大棚 ,0.6,E16,31,辣椒,蔬菜 ,0.6,第一季,79,2000.0,1200.0,6.00-8.50,7.25,13300.0,1200.0
F1,智慧大棚,0.6,F1,32,空心菜,蔬菜 ,0.3,第一季,80,12000.0,5000.0,3.00-6.00,4.5,49000.0,3600.0
F1,智慧大棚,0.6,F1,33,黄心菜,蔬菜 ,0.3,第一季,81,6000.0,2500.0,4.00-5.00,4.5,24500.0,1800.0
F1,智慧大棚,0.6,F1,24,青椒,蔬菜 ,0.3,第二季,97,2700.0,2200.0,5.80-7.80,6.8,16160.0,810.0
F1,智慧大棚,0.6,F1,21,西红柿,蔬菜 ,0.3,第二季,94,2700.0,2640.0,6.00-9.00,7.5,17610.0,810.0
F2,智慧大棚,0.6,F2,25,菜花,蔬菜 ,0.3,第一季,73,4000.0,3000.0,5.00-6.00,5.5,19000.0,1200.0
F2,智慧大棚,0.6,F2,26,包菜,蔬菜 ,0.3,第一季,74,4500.0,3500.0,5.50-7.50,6.5,25750.0,1350.0
F2,智慧大棚,0.6,F2,22,茄子,蔬菜 ,0.3,第二季,95,7200.0,2640.0,6.00-7.20,6.6,44880.0,2160.0
F2,智慧大棚,0.6,F2,29,黄瓜,蔬菜 ,0.3,第二季,102,13500.0,3850.0,7.20-9.60,8.4,109550.0,4050.0
F3,智慧大棚,0.6,F3,17,豇豆,蔬菜（豆类）,0.6,第一季,65,3600.0,2400.0,7.00-9.00,8.0,26400.0,2160.0
F3,智慧大棚,0.6,F3,28,小青菜,蔬菜 ,0.3,第二季,101,3600.0,2200.0,6.00-7.80,6.9,22640.0,1080.0
F3,智慧大棚,0.6,F3,30,生菜 ,蔬菜 ,0.3,第二季,103,4500.0,2200.0,5.40-7.20,6.300000000000001,26150.000000000004,1350.0
F4,智慧大棚,0.6,F4,19,芸豆,蔬菜（豆类）,0.6,第一季,67,3600.0,2400.0,5.00-8.00,6.5,21000.0,2160.0
F4,智慧大棚,0.6,F4,34,芹菜,蔬菜 ,0.3,第二季,107,6000.0,1200.0,3.80-5.80,4.8,27600.0,1800.0
F4,智慧大棚,0.6,F4,23,菠菜 ,蔬菜 ,0.3,第二季,96,3000.0,3000.0,5.80-8.00,6.9,17700.0,900.0
