Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,383.9174652436463,420.0,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,494.49903372142313,420.0,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,391.53892832385765,367.5,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,330.6555852065552,367.5,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,435.3161313610009,367.5,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,824.4352311424202,472.5,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,967.9781136767094,525.0,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,386.2141526022637,378.0,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,630.4267673835062,420.0,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,527.8611959047981,378.0,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,111.04384522408635,367.5,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,3067.979374043865,1050.0,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2097.896914780972,2100.0,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,432.0141234951261,420.0,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,521.2588321834751,367.5,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,378.44385972097433,420.0,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,485.61409549382853,420.0,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,390.4500259474838,367.5,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,332.88387230531305,367.5,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,391.58666707815917,367.5,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,739.1234851350848,472.5,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,1018.8398537843229,525.0,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,400.31882220623834,378.0,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,602.7897731605942,420.0,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,488.17806858975797,378.0,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,106.25152607865809,367.5,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2823.367716498169,1050.0,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,2138.632882548545,2100.0,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,375.65932304382864,420.0,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,504.6790181345871,367.5,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,359.5244912744268,420.0,2.50-4.00,3.25,770.0
31,32,2,黑豆,山坡地,单季,428.7429481722783,420.0,6.50-8.50,7.5,2975.0
32,33,3,红豆,山坡地,单季,358.4610982713449,367.5,7.50-9.00,8.25,2620.0
