地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,季度,地块类型,地块面积/亩,没有种植豆类年数
A1,375.2247106746215,488.3354225373778,382.6191542908738,330.9937793137533,435.5906654487014,855.9546525319968,1012.8685895040808,363.8230665416165,646.752850255288,526.9466244143061,113.22334745220829,3017.10859023279,1954.6737565562325,426.95496509297953,502.3828737742709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,80.0,0
A2,375.2247106746215,488.3354225373778,382.6191542908738,330.9937793137533,435.5906654487014,855.9546525319968,1012.8685895040808,363.8230665416165,646.752850255288,526.9466244143061,113.22334745220829,3017.10859023279,1954.6737565562325,426.95496509297953,502.3828737742709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
A3,375.2247106746215,488.3354225373778,382.6191542908738,330.9937793137533,435.5906654487014,855.9546525319968,1012.8685895040808,363.8230665416165,646.752850255288,526.9466244143061,113.22334745220829,3017.10859023279,1954.6737565562325,426.95496509297953,502.3828737742709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,35.0,0
A4,375.2247106746215,488.3354225373778,382.6191542908738,330.9937793137533,435.5906654487014,855.9546525319968,1012.8685895040808,363.8230665416165,646.752850255288,526.9466244143061,113.22334745220829,3017.10859023279,1954.6737565562325,426.95496509297953,502.3828737742709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,72.0,0
A5,375.2247106746215,488.3354225373778,382.6191542908738,330.9937793137533,435.5906654487014,855.9546525319968,1012.8685895040808,363.8230665416165,646.752850255288,526.9466244143061,113.22334745220829,3017.10859023279,1954.6737565562325,426.95496509297953,502.3828737742709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,68.0,0
A6,375.2247106746215,488.3354225373778,382.6191542908738,330.9937793137533,435.5906654487014,855.9546525319968,1012.8685895040808,363.8230665416165,646.752850255288,526.9466244143061,113.22334745220829,3017.10859023279,1954.6737565562325,426.95496509297953,502.3828737742709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
B1,391.0241804079645,502.1036942838778,412.2525211924927,367.0625591595114,371.9269099959026,731.3415948562308,997.8034133703052,381.2324762899562,599.6617083421902,482.09379349139124,105.85508373608705,2764.1367312096727,2051.306698620546,380.83707221673865,444.2338040318323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B2,391.0241804079645,502.1036942838778,412.2525211924927,367.0625591595114,371.9269099959026,731.3415948562308,997.8034133703052,381.2324762899562,599.6617083421902,482.09379349139124,105.85508373608705,2764.1367312096727,2051.306698620546,380.83707221673865,444.2338040318323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,46.0,0
B3,391.0241804079645,502.1036942838778,412.2525211924927,367.0625591595114,371.9269099959026,731.3415948562308,997.8034133703052,381.2324762899562,599.6617083421902,482.09379349139124,105.85508373608705,2764.1367312096727,2051.306698620546,380.83707221673865,444.2338040318323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,40.0,0
B4,391.0241804079645,502.1036942838778,412.2525211924927,367.0625591595114,371.9269099959026,731.3415948562308,997.8034133703052,381.2324762899562,599.6617083421902,482.09379349139124,105.85508373608705,2764.1367312096727,2051.306698620546,380.83707221673865,444.2338040318323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,28.0,0
