作物名称,种植季次,产量,作物编号
黄豆,单季,39702.30415070105,1
黑豆,单季,16540.80389844564,2
红豆,单季,16421.833899912497,3
绿豆,单季,26504.022918872048,4
爬豆,单季,7497.713698939761,5
小麦,单季,215758.37138890597,6
玉米,单季,163581.68896803455,7
谷子,单季,49821.49167109799,8
高粱,单季,23091.041584250463,9
黍子,单季,9208.172084569249,10
荞麦,单季,1020.4742052860687,11
南瓜,单季,24007.706752248785,12
红薯,单季,28470.78373901341,13
莜麦,单季,10505.61745549754,14
大麦,单季,7707.08109353372,15
水稻,单季,16121.739781566508,16
豇豆,第一季,19933.956485118655,17
豇豆,第二季,499.7978429383169,17
刀豆,第一季,14710.44420679603,18
刀豆,第二季,368.87732917562977,18
芸豆,第一季,3667.0681115840543,19
芸豆,第二季,511.88657752348115,19
土豆,第一季,17504.442133373486,20
土豆,第二季,376.1163208113724,20
西红柿,第一季,19659.419740779857,21
西红柿,第二季,455.99703174749925,21
茄子,第一季,24075.34810665022,22
茄子,第二季,1232.8750158797925,22
菠菜 ,第二季,477.08846754810355,23
青椒,第一季,910.8373786179422,24
青椒,第二季,436.1156646990447,24
菜花,第一季,2123.222311440007,25
菜花,第二季,574.0583545227298,25
包菜,第一季,2203.806001830203,26
包菜,第二季,656.2196315342771,26
油麦菜,第一季,2537.2344277655825,27
油麦菜,第二季,763.2787124096795,27
小青菜,第一季,18646.573717130334,28
小青菜,第二季,585.061514779819,28
黄瓜,第一季,4962.598989233869,29
黄瓜,第二季,2336.3685494061406,29
生菜 ,第二季,743.2626517655169,30
辣椒,第一季,693.4615370570634,31
辣椒,第二季,297.26576931227714,31
空心菜,第一季,2196.3682671664137,32
空心菜,第二季,1858.09898867863,32
黄心菜,第一季,992.0181128655275,33
黄心菜,第二季,861.8377918450207,33
芹菜,第二季,984.6092881861204,34
大白菜,第二季,89182.56543202049,35
白萝卜,第二季,52922.84758749713,36
红萝卜,第二季,20321.705534842917,37
榆黄菇,第二季,7296.842428907912,38
香菇,第二季,5540.810163911203,39
白灵菇,第二季,15799.0911292606,40
羊肚菌,第二季,4111.971472050784,41
